ts0,ts1,bcr1,bcr2,bcr3
1647400000.0,27947,0.017,1.47,0.0
1647400000.0,27993,0.016,1.267,0.0
1647400000.0,28040,0.016,0.861,0.0
1647400000.0,28087,0.016,1.511,0.0
1647400000.0,28134,0.016,1.447,0.0
1647400000.0,28189,0.016,0.946,0.0
1647400000.0,28236,0.016,1.492,0.0
1647400000.0,28283,0.016,1.507,0.0
1647400000.0,28330,0.016,1.38,0.0
1647400000.0,28377,0.016,0.878,0.0
1647400000.0,28424,0.016,4.46,0.0
1647400000.0,28480,0.016,1.407,0.0
1647400000.0,28527,0.015,1.444,0.0
1647400000.0,28574,0.016,1.537,0.0
1647400000.0,28621,0.016,1.346,0.0
1647400000.0,28668,0.016,1.432,0.0
1647400000.0,28715,0.016,1.514,0.0
1647400000.0,28762,0.016,1.492,0.0
1647400000.0,28840,0.015,1.273,0.0
1647400000.0,28887,0.016,1.514,0.0
1647400000.0,28934,0.016,1.434,0.0
1647400000.0,28981,0.015,1.324,0.0
1647400000.0,29027,0.016,1.498,0.0
1647400000.0,29074,0.016,1.513,0.0
1647400000.0,29121,0.016,1.415,0.0
1647400000.0,29168,0.016,1.392,0.0
1647400000.0,29215,0.016,1.254,0.0
1647400000.0,29262,0.016,1.365,0.0
1647400000.0,29309,0.016,1.493,0.0
1647400000.0,29355,0.016,1.519,0.0
1647400000.0,29456,0.016,1.47,0.0
1647400000.0,29503,0.016,1.435,0.0
1647400000.0,29550,0.016,1.363,0.0
1647400000.0,29597,0.016,1.428,0.0
1647400000.0,29644,0.016,1.327,0.0
1647400000.0,29690,0.016,1.372,0.0
1647400000.0,29737,0.016,1.433,0.0
1647400000.0,29785,0.016,1.408,0.0
1647400000.0,29833,0.016,1.427,0.0
1647400000.0,29881,0.016,1.453,0.0
1647400000.0,29928,0.016,1.026,0.0
1647400000.0,29975,0.016,1.527,0.0
1647400000.0,30022,0.016,1.528,0.0
1647400000.0,30069,0.016,1.519,0.0
1647400000.0,30117,0.016,1.239,0.0
1647400000.0,30164,0.016,1.447,0.0
1647400000.0,30211,0.016,1.405,0.0
1647400000.0,30258,0.016,1.405,0.0
1647400000.0,30305,0.016,1.34,0.0
1647400000.0,30352,0.016,1.363,0.0
1647400000.0,30398,0.016,1.427,0.0
1647400000.0,30508,0.016,1.379,0.0
1647400000.0,30557,0.016,1.451,0.0
1647400000.0,30604,0.017,1.392,0.0
1647400000.0,30651,0.016,1.406,0.0
1647400000.0,30697,0.016,1.261,0.0
1647400000.0,30744,0.016,1.37,0.0
1647400000.0,30799,0.016,1.476,0.0
1647400000.0,30846,0.016,1.446,0.0
1647400000.0,30893,0.016,1.018,0.0
1647400000.0,30940,0.017,1.51,0.0
1647400000.0,30986,0.017,1.539,0.0
1647400000.0,31033,0.016,1.513,0.0
1647400000.0,31080,0.016,1.367,0.0
1647400000.0,31128,0.016,1.52,0.0
1647400000.0,31175,0.016,1.519,0.0
1647400000.0,31222,0.016,1.508,0.0
1647400000.0,31268,0.016,1.449,0.0
